all_params,f1score,precision,recall
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.6_5_6b_0.2_3_7b_0.2_3_8b_0.5_3_9b_0.1_3,0.8789993735484728,0.806350074306282,0.9660357931529676
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.6_5_6b_0.2_3_7b_0.2_3_8b_0.05_3_9b_0.1_3,0.8790809426740342,0.8064968133406331,0.9660222454039261
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.6_5_6b_0.2_3_7b_0.2_3_8b_0.3_3_9b_0.1_3,0.8789993735484722,0.806350074306281,0.9660357931529676
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.6_5_6b_0.2_3_7b_0.5_3_8b_0.5_3_9b_0.1_3,0.8790492636585456,0.8063868474618782,0.9661035318981751
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.6_5_6b_0.2_3_7b_0.5_3_8b_0.05_3_9b_0.1_3,0.879130834879068,0.8065335864962295,0.9660899841491336
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.6_5_6b_0.2_3_7b_0.5_3_8b_0.3_3_9b_0.1_3,0.8790492636585456,0.8063868474618783,0.9661035318981751
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.6_5_6b_0.2_3_7b_0.8_10_8b_0.5_3_9b_0.1_3,0.8789890297541039,0.8062949145728866,0.9660899841491336
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.6_5_6b_0.2_3_7b_0.8_10_8b_0.05_3_9b_0.1_3,0.8790706095171712,0.8064416536072379,0.9660764364000921
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.6_5_6b_0.2_3_7b_0.8_10_8b_0.3_3_9b_0.1_3,0.878989029754104,0.8062949145728869,0.9660899841491336
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.6_5_6b_0.2_5_7b_0.2_3_8b_0.5_3_9b_0.1_3,0.8788665036284321,0.8062019602073519,0.9659274111606356
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.6_5_6b_0.2_5_7b_0.2_3_8b_0.05_3_9b_0.1_3,0.8789480788618723,0.8063486992417032,0.9659138634115941
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.6_5_6b_0.2_5_7b_0.2_3_8b_0.3_3_9b_0.1_3,0.8788665036284313,0.8062019602073507,0.9659274111606356
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.6_5_6b_0.2_5_7b_0.5_3_8b_0.5_3_9b_0.1_3,0.8789163929744315,0.8062387333629476,0.9659951499058431
0b_0.8_1_1b_0.5_3_2b_0.8_5_3b_0.2_3_4b_0.5_5_5b_0.6_5_6b_0.2_5_7b_0.5_3_8b_0.05_3_9b_0.1_3,0.878997970302833,0.8063854723972987,0.9659816021568016
