eps,minpoint,f1score,precision,recall
0.8,10.0,0.38339249300395173,0.24484764803548667,0.8830693780228415
0.05,5.0,0.5730119048738825,0.4338400838999114,0.843645428312086
0.01,10.0,0.3846983034544129,0.2734387991208077,0.6486120331106987
0.01,1.0,0.7478965840389394,0.7108247641666665,0.7890479996748541
0.2,2.0,0.8583043147466898,0.7630075845652011,0.9808028396081991
0.05,2.0,0.8408811122293198,0.7784380782988615,0.9142156530692426
0.01,5.0,0.4988166249983813,0.38244353949422494,0.7169875225231328
0.8,5.0,0.4637584025278899,0.30836314307228585,0.9348759703575251
0.8,2.0,0.7703253125975332,0.6264464256190787,1.0
0.1,5.0,0.5769439183682782,0.4292983606201503,0.8793843902835544
0.2,1.0,0.8583043147466898,0.7630075845652011,0.9808028396081991
0.05,1.0,0.8408811122293198,0.7784380782988615,0.9142156530692426
0.8,1.0,0.7703253125975332,0.6264464256190787,1.0
0.05,10.0,0.47350531960108794,0.34042343822287596,0.7774240309972498
0.1,2.0,0.8554611625058552,0.77705079259838,0.9514719629333587
0.2,10.0,0.4889482767668234,0.3425677576327502,0.853765596846084
0.01,2.0,0.7478965840389394,0.7108247641666665,0.7890479996748541
0.1,1.0,0.8554611625058552,0.77705079259838,0.9514719629333587
0.1,10.0,0.48457009713942917,0.3441194575306251,0.8187311178247734
0.2,5.0,0.5704238444029727,0.415587035649155,0.9091487949277227
